                     ,,,,,,,,,
Marca/Make,Motor/Engine,"Nº Original /
OEM #",N°300-INDY,A/E,D.E,D.I,H,µ,"Cant. por juego / 
QTY per box"
CUMMINS,"ASIENTO VALV. CUMMINS SERIE C ADM
8.3 I Turbo Aftercooler Diesel FORD CARGO","Std-3924582 / +0.25 -3925468 /
 +0.50 -3925470",A5278,ADM,54,44.5,8.2,30º,6
CUMMINS,"ASIENTO VALV. CUMMINS SERIE 6CT ADM,",3908830,A5609,ADM,54.07,44.5,7.8,30º,6
CUMMINS,"ASIENTO VALV. CUMMINS ADM.
 SERIE K, KT 450, KT150, KTA 600, KTA 2300",3052819 - 3026296,A5341,ADM,60.48,49,8.2,30º,6
CUMMINS,"ASIENTO VALV.CUMMINS 205093 ESC
SERIE K, KT 450, KT150, KTA 600, KTA 2300",205093,A5342,ESC,60.48,51.6,8.2,30º,6
CUMMINS,ASIENTO VALV. CUMMINS ISX DIESEL ESC.,3683349    3679537,A5615,ESC,47.6,39.7,6.1,45º,6
CUMMINS,adaptacion Cummins,,A9293,,60.45,49.06,7.9,,
CUMMINS,adaptacion Cummins,,A9294,,60.45,49.75,7.9,,
DETROIT,ASIENTO DE VALV.DETROIT S 53 (60-73) IMATER A-E,5116361-ND/8921501,A5182,A-E,29.5,23.65,5.65,30º,6
DETROIT,ASIENTO VALV. DETROIT S 71E A-E,5101101,A5015,ESC,32.07,24.5,6.36,30º,6
DETROIT,ASIENTO VALV.DETROIT S 71E A-E,,A5109,A-E,32.07,25.3,6.35,45º,4
DETROIT,ASIENTO VALV.DETROIT S92 A-E,5148490,A5264,A-E,36.66,29.3,6.37,30º,6
DETROIT," ASIENTO VALV.DETROIT S 60 ESC,",8929126,A5618,ESC,41.35,34.5,6.3,30º,0
DETROIT, ASIENTO VALV.DETROIT S 60 ADM.,8929127,A5619,ADM,46.2,39.9,7.2,30º,6
DETROIT,ASIENTO VALV.DETROIT GM S149 MATERIALMAGNE A-E,5139982,A5088,A-E,48.23,38.9,6.95,30º,4
DEUTZ,ASIENTO VALV. DEUTZ 913 ESC,,A5164,ESC,40.16,32.5,9,45°,6
DEUTZ,ASIENTO VALV. DEUTZ 913 SIDAC ADM,,A5166,ADM,45.66,36,8.85,30°,6
DEUTZ,ASIENTO ESC DEUTZ F1L514,,A9139,ESC,44.17,38.1,10.95,45º,0
DEUTZ,ASIENTO VALV.DEUTZ TCD 2013-4V ESC,4900636,A5705,ESC,36.81,28.4,7.5,60º,4
DEUTZ,ASIENTO VALV.DEUTZ  BF 4M/6M 1012 ESC ,0419 2396,A5409,ESC,36.98,30.2,7.5,45º,6
DEUTZ,ASIENTO VALV.DEUTZ TCD 2013-4V ADM,4900631,A5704,ADM,39.31,31.3,7.5,45º,4
DEUTZ,"ASIENTO VALV.DEUTZ 913 ESC
 F6L913/F1L812/F2L912D",0213 7306,A5031,ESC,40.16,31,9.75,45º,6
DEUTZ,ASIENTO VALV.DEUTZ 913 ESC,0415 4598,A5195,ESC,40.16,30,8.6,30º,0
DEUTZ,ASIENTO VALV. DEUTZ 913 TURBO ESC,,A5262,ESC,40.16,29.9,8.56,30º,6
DEUTZ,ASIENTO DEUTZ 913,99447343,A6685,ADM,41.07,31,11.8,45º,0
DEUTZ,ASIENTO VALV. DEUTZ FL 1011,0417 0178,A5560,ESC,42.67,34.2,7.5,45º,0
DEUTZ,"ASIENTO VALV. DEUTZ ADM.
  BF 4M/6M 1012",0419 2397,A5410,ADM,42.78,33.75,6.8,30º,0
DEUTZ,"ASIENTO VALV. DEUTZ ADM. 1013
  BF 4M/6M 1013",0425 2443,A5473,ESC,43.6,35,7.9,45º,6
