,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,,,,,,,
,,,,MAHLE,EDIVAL,,,,,
,,,,,,,,,,
Z,Z,Z,Z,Z,Z,Z,Z,Z,Z,Z
CADILLAC,Motor 472 (68/73) 500 (70/73) Nafta,8,EX,VE3211206,21108 E,41.20 x 8.69 x 133.30,A/CP,44°,F,A
CASE,"Motor 451 BDT, XA6 Diesel ",6,IN,VA0391019,3082 A,44.45 x 10.22 x 163.22,M/CP,45°,T,A
, ,,EX,VE0391229,23082 E,39.67 x 10.22 x 163.22,A/CP,45°,T,A
CASE,"Motor 504 BD Turbo-Modelo 1370, 1470, 1570, 2290, 2390, 2470, 2590, 4490 Diesel ",6,IN,VA0391017,3080 A,50.80 x 10.22 x 163.32,M/CP,45°,T,A
, ,,EX,VE0391227,23080 E,44.45 x 10.22 x 163.28,A/CP,45°,T,A
CASE,"Motor 504D, 336D (30°) Diesel ",6,IN,VA0391020,3180 A,50.80 x 10.22 x 163.32,M/CP,30°,T,A
, ,,EX,VE0391227,23080 E,44.45 x 10.22 x 163.28,A/CP,30°,T,A
CASE,"Motor G188D - Tractor 530, 570, 580, 630, 640, 660 Diesel ",4,IN,VA0391018,3081 A,40.74 x 8.67 x 161.33,M/CP,45°,T,A
, ,,EX,VE0391228,23081 E,35.64 x 8.65 x 161.33,A/CP,44°30',T,A
CASE,SERIE 30 GENESIS,4,IN,VA1961403,26082 A,46.60 x 9.44 x 145.90,A/M/CP,29°30',D,E
,,,EX,VE1961404,26082 E,43.00 x 9.41 x 146.44,A/M/CP,44°30',D,E
CATERPILLAR,"Motor 1140, 1145, 1150, 1160, 3145, 3150, 3160, 3204, 3208 Diesel",8,IN,VA0110235,2009 A,"53,2 x 9,46 x 144,78",M,30°,B,A
, ,,EX,VE0110234,22009 E,"45,74 x 9,44 x 144,35",A/M,45°00',B,A
, ,,EX,VE0111231,22109 E,45.75 x 9.43 x 144.30,A/M/ST,45°,B,A
CATERPILLAR,"Motor 3114 4400cc.(924F), 3116 6600cc.(960F, 950F, 325, 325L) Turbo - Chevrolet Kodiak Diesel",4-6,IN,VA0110232,23077 A,47.00 x 8.00 x 177.18,A/M,30°,A,A
, ,,EX,VE0110233,23077 E,40.00 x 8.00 x 176.72,A/M/ST/CP,45°,A,A
CATERPILLAR,"Motor 3304 (D4E), 3306 (D5B, 12G, 561D) Diesel",4-6,IN,VA0110145,3053 A,51.28 x 9.44 x 136.35,M,29°15',B,A
, ,,EX,VE0111243,3053 E,47.98 x 9.44 x 134.75,M,29°30',B,A
CATERPILLAR,"Motor 3306 (814B, 815B, 816B, 235, 14G, 12G, D6D) 3304 (120G, 130G, 140G, D4E) Diesel",4-6,IN,VA0110921,23053 A,51.23 x 9.44 x 136.45,A/M/ST,29°30',B,A
, ,,EX,VE0110146,23053 E,47.98 x 9.44 x 134.75,A/M/ST,29°30',B,A
CATERPILLAR,Motor 3400 GNC,6,EX,VE0110346,23274 E,41.80 x 9.44 x 182.40,M/X/CP,19°,B,A
CATERPILLAR,Motor 3406 - 3408 - 3412 Diesel,6-8-12,IN,VA0110918,23038 A,44.98 x 9.44 x 181.30,A/M/ST,29°15',B,A
, ,,EX,VE0111233,23038 E,41.75 x 9.44 x 181.30,A/M/ST,44°00',B,A
, ,,IN,VA0110923,26285 A,45.05 x 9.44 x 181.25,AB/M/ST/CP,29°,B,A
, ,,EX,VE0111240,26285 E,41.75 x 9.44 x 181.25,AB/M/ST/CP,45°30',B,A
CATERPILLAR,Motor 3516 Diesel,6,EX,VE0110347,26284 E,55.90 x 9.44 x 219.26,AB/M/ST/CP,19°30',B,A
CATERPILLAR,"Motor D330A, D330B, D333A, D333B, 1670, 1673 (Asp. Normal y Turbo) Diesel",4-6,IN,VA0110926,3019 A,48.14 x 9.43 x 166.70,M,29°30',B,A
,,,EX,VE0111232,23019 E,44.98 x 9.44 x 166.75,A/M,29°30',B,A
CATERPILLAR,"Motor D330C, D333C, 1673C, 3304, 3306 (Asp. Normal) Diesel",4-6,IN,VA0110143,3040 A,51.30 x 9.43 x 139.91,M,29°15',B,A
, ,,EX,VE0110142,3040 E,48.10 x 9.43 x 138.92,M,29°30',B,A
CATERPILLAR,"Motor D330C, D333C, 1673C, 3304, 3306 (Turbo) Diesel",4-6,IN,VA0110919,23040 A,51.28 x 9.43 x 139.91,A/M/ST,29°15',B,A
, ,,EX,VE0110144,23240 E,48.10 x 9.43 x 138.87,A/M/ST,29°15',B,A
, ,,EX,VE0111237,23140 E,48.10 x 9.43 x 139.13,A/M/ST,30°,B,A
CATERPILLAR,"Motor D342 (583K, D8K) Diesel",6,IN,VA0110922,26283 A,59.45 x 9.43 x 235.70,A/M/ST,44°,B,A
, ,,EX,VE0111239,26283 E,57.85 x 9.43 x 235.08,A/M/ST,44°15',B,A
CATERPILLAR,"Motor D343 (633, 633C) Diesel",6,IN,VA0110917,22010 A,44.95 x 9.45 x 152.20,A/M/ST,44°,B,A
, ,,EX,VE0110930,22010 E,41.80 x 9.45 x 152.20,A/M/ST,44°,B,A
CATERPILLAR,"Motor D343, D343A, D346, D348, D349, 1693 (65B1) Diesel",6-8-12-16,IN,VA0110920,23052 A,44.91 x 9.44 x 152.27,A/M/ST,44°,B,A
, ,,EX,VE0111234,23052 E,41.75 x 9.45 x 152.27,A/M/ST,44°,B,A
CATERPILLAR,Série 3064 / 3066,4-6,IN,VA0111409,22108 A,44.00 x 7.94 x 134.00,A/N,30°00',E,E
,,,EX,VE0111410,22108 E,37.00 x 7.93 x 134.00,A/N,30°00',E,A
CATERPILLAR,Série 356 - 3056E,4-6,IN,VA0111407,22280 A,43.00 x 8.95 x 122.85,A/M/CP,30°00',A,A
,,,EX,VE0111408,22280 E,41.00 x 8.95 x 122.85,A/M/CP,30°00,A,A
CATERPILLAR,Série C9,6,IN,VA0111411,22281 A,36.00 x 9.44 x 184.50,AB/M/CP/ST,24°15',B,A
,,,EX,VE0111412,22281 E,36.00 x 9.44 x 183.00,X/M/CP,44°15',B,A
CHERY,"Tiggo 125cv 2,0l. 16v.",4-6,IN,VA3481481,1280 A,32.78 x 5.98 x 108.00,M/CP/SH,45°,C,A
, ,,EX,VE3481482,21280 E,28.00 x 5.96 x 106.27,A/M/ST/CP,45°,C,A
CHRYSLER,"1500 - 1800, VW 1500 (71 en ad.) - GNC",4,IN,VA0100332,1063 AGNC,38.10 x 7.91 x 109.83,M/CP,44°40',A,C
, ,,IN,"VA0100332 0,076",1063 AGNC1,38.10 x 7.98 x 109.83,M/CP,44°40',A,C
, ,,IN,"VA0100332 0,127",1063 AGNC2,38.10 x 8.03 x 109.83,M/CP,44°40',A,C
, ,,IN,"VA0100332 0,254",1063 AGNC3,38.10 x 8.16 x 109.83,M/CP,44°40',A,C
, ,,IN,"VA0100332 0,381",1063 AGNC4,38.10 x 8.29 x 109.83,M/CP,44°40',A,C
, ,,IN,"VA0100332 0,508",1063 AGNC5,38.10 x 8.41 x 109.83,M/CP,44°40',A,C
, ,,IN,"VA0100332 0,762",1063 AGNC6,38.10 x 8.67 x 109.83,M/CP,44°40',A,C
, ,,EX,VE0100334,21063 EGNC,31.20 x 7.87 x 109.82,A,44°40',A,C
, ,,EX,"VE0100334 0,076",21063 EGNC1,31.20 x 7.94 x 109.82,A,44°40',A,C
, ,,EX,"VE0100334 0,127",21063 EGNC2,31.20 x 7.99 x 109.82,A,44°40',A,C
, ,,EX,"VE0100334 0,254",21063 EGNC3,31.20 x 8.12 x 109.82,A,44°40',A,C
, ,,EX,"VE0100334 0,381",21063 EGNC4,31.20 x 8.25 x 109.82,A,44°40',A,C
, ,,EX,"VE0100334 0,508",21063 EGNC5,31.20 x 8.38 x 109.82,A,44°40',A,C
, ,,EX,"VE0100334 0,762",21063 EGNC6,31.20 x 8.63 x 109.82,A,44°40',A,C
CHRYSLER,"Cherokee, Gran Cherokee Motor 150 2.5l. - 242 4.0l. Nafta",4,IN,VA0100339,1905 A,48.50 x 7.91 x 124.73,M,45°,A,C
, ,,IN,"VA0100339 0,076",1905 A1,48.50 x 7.99 x 124.73,M,45°,A,C
, ,,IN,"VA0100339 0,381",1905 A4,48.50 x 8.29 x 124.73,M,45°,A,C
, ,,IN,"VA0100339 0,762",1905 A6,48.50 x 8.67 x 124.73,M,45°,A,C
, ,,EX,VE0100343,21905 E,38.04 x 7.92 x 125.35,A/CP,45°,A,C
, ,,EX,"VE0100343 0,076",21905 E1,38.04 x 8.00 x 125.35,A/CP,45°,A,C
, ,,EX,"VE0100343 0,381",21905 E4,38.04 x 8.30 x 125.35,A/CP,45°,A,C
, ,,EX,"VE0100343 0,762",21905 E6,38.04 x 8.68 x 125.35,A/CP,45°,A,C
