,,,,,,,,
,,,ASIENTOS de VALVULAS - VALVE SEATS,,,,,
,,,TEMPLADOS Y REVENIDOS SEGÚN NORMAS ORIGINALES,,,,,
Código NUBO,Nº Riosulense,Nº Original,Marca y Modelo,Tipo,Diámentro Exterior,Diámetro Interior,Altura,Angulo
,,OEM,OEM  Name / Application,,D,d,,
C180,23651020,3660530931,MOTORES OM 366,A,43.87,34.5,7.8,30º
C159,23527020,3460530731,MOTORES OM 355-OM346,A,51.06,37,7.5,45º
C160,23516020,3460530532,,E,40.06,31.11,7.49,45º
C191,23654020,4220530131,MOTOR OM 447 / 449,A,60.12,50.9,9.5,30º
C192,23655020,422530132,,E,53.12,43,10.2,45º
C326,23654020,,MOTOR OM 457,A,47.39,36.5,7.8,30ª
C327,23655020,,,E,43.09,34.3,8,45ª
C331,23500020,,MOTOR OM 611,A,30.96,26,5.6,45
C332,23511020,,,E,29.85,24.1,5.6,45
C289,23500020,9060530131,MOTOR OM 904 LA -Turbo e Intercooler-,A,35.1,28,7.6,
C290,23511020,9060530132,,E,40.07,31.2,8,45º
C266,,,OM366 Ecológico,A,43.88,35.5,7.7,20º
C346,,,904 36º,AE,40.07,31.2,8,36ª
C457,,,BOMBA INYECTORA M.BENZ 904,,17.3,12,8,
C463,,,515,,26.15,20,5.5,
,,,MITSUBISHI,,,,,
C390,,,4 G 15,,32.75,26,8,
C383,,,,,36.15,28,8,
C409,,,4G15 A,AE,44.15,35.72,7.5,
C414,,,CANTER 4 D 34,E,39.25,32.1,7,
,,,,,,,,
C424,,,CANTER 4 D 34,A,46.27,37.3,6.9,
,,,M.W.M.,,,,,
C291,23607080,,MOTOR 6.10 / 6.10 T,A,46.15,38.5,7.2,
C292,23608080,,,E,43.1,34.4,7.4,
C135,,,D225-229,A,43.16,36,7.4,45º
C136,,,,E,39.15,33,7,45º
C293,23738080,,MOTOR SPRINT 4.07 / 6.07,A,33.56,28.1,6.6,30º
C294,23739080,,,E,40.68,34.1,6.7,30º
,,,NISSAN,,,,,
C377,,,8 V,,38.2,33,7,
C392,,,,,31.15,26,7,
C357,,,FD6,A,52.25,41,7.2,
C361,,,,E,45.75,36,7,
C412,,,FD6 ,E,41.3,31.9,7.1,
C413,,,FD6,A,50.4,41.85,7.45,
C418,,,16V,,25.3,20,7,
C419,,,16V,,31.1,26,7.5,
C426,,,FD6 ,A,53,42,9,
C427,,,FD6 ,E,46,36,9,
,,,PERKINS / INTERNATIONAL,,,,,
C149,,,6-305  /  4-203,A,41.63,35.5,6,45º
C150,,,,E,35.44,29.4,6,45º
C151,,33152155,6-354 ,A,51.3,40.3,7.2,45º
C152,,33152154,,E,42.7,31.7,9.5,45º
C295,,70470048,MOTORES 6-358,A,48.25,41,6.3,45º
C296,,33152154,,E,42.05,34.9,6.3,45º
C298,,,MOTOR MAXION S4 - S4 TURBO,A,48.7,40.5,6,30º
C299,,,,E,39.6,33,6,45º
C139,,,MOTOR MAXION HS  -SPRINTER-GEMINI-ROVER-,A,40.49,34.3,7.98,
C140,,,,E,38.1,30.8,8.4,
,,,PEUGEOT,,,,,
C131,,,INDENOR  XD2-XD 488,A,42.18,34,8.3,45º
C132,,,INDENOR  XD2,E,36.18,30,6.3,45º
C129,,,INDENOR  XD3-XD3T,A,44.18,38,6.2,45º
C130,,,,E,37.18,31,6.2,45º
C263,,,405 - 306  - 206 MOTOR  XU5,A,43.16,34.5,7,45º
C264,,,,E,36.1,30.8,6.5,45º
,,,,,,,,
,,,,,,,,
C189,,9606351380,405 - 205    XU9JA  -  XU7JP 1.9 DIESEL,A,40.15,33.6,6.25,45º
C190,,9613765480,,E,34.15,28.8,5.5,45º
C161,,22686,504 - 505  MOTOR 1800 / 2000,A,43.65,36.5,10.43,45º
C162,,22744,,E,37.2,30.7,7,45º
C163,,,404 - 504  MOTOR 1600,A,44.1,37.2,7.1,45º
C164,,,,E,37.5,30.9,7.1,45º
C318,,,406  MOTOR 1800 / 2000  16V,A,36.68,30,6.5,45º
C319,,,,E,31.86,25.6,6.5,45º
,,,RENAULT,,,,,
C265,,,18  MOTOR GXE 2000 / 2200,A,44.7,37,10,30º
C252,,,,E,39.6,31.7,7,45º
C320,,,SCENIC  MOTOR  K4M  1600  16V,A,33.52,29,5,45º
C321,,,,E,28.84,23,5.9,45º
,,,,,,,,
,,,,,,,,
C322,,,LAGUNA  MOTOR  F9Q TURBO DIESEL,A,37.1,30,7,45º
C323,,,,E,33.75,28,7,45º
C324,,,CLIO - MEGANE  MOTOR  K7M / E7J,A,38.75,32.5,7,30º
C325,,,,E,34.75,28,6.5,45º
C193,,,19 1.8/ 2.0 - EXPRESS  F8Q,A,37.2,31,7,45º
C194,,,,E,32.7,27,7,45º
C145,,,11  MOTOR 1600,A,35.2,30,6.2,45º
C167,,,9  MOTOR 1600,A,35.65,30.1,9.2,45º
C168,,,9 / 11  MOTOR 1600,E,30.65,25.3,6.2,45º
C165,,,12  MOTOR 1400,A,34.5,28.1,6,45º
C166,,,,E,31.5,25.5,6,45º
,,,SCANIA,,,,,
C303,,23988035,DC11 Electrónico / 124,A,46.06,35.1,7.9,20º
C304,,23989035,,E,44.09,35,8.5,45º
C185,,289517FH001,D11 / 10 / 510  RUBO  D51,A,56,47.5,7.4,30º
C186,,E242672FC001,,E,52.02,40.65,10.3,30º
C305,,,K94,A,53.15,43.8,7.3,
C306,,,,E,49.1,39,9.7,
C307,,231135035,DS9 Motor 9 litros,A,53.07,44.05,7.4,20º
C308,,231136035,,E,49.09,39.05,9.7,45º
,,,SUZUKI,,,,,
C395,,,VITARA  5P,A,31.1,26,7.5,
C400,,,,E,27,21.5,7.5,
C401,,,VITARA 1600,A,38.35,31.85,7.5,
C402,,,,E,33.85,28,7.5,
C375,,,1,A,38.25,31,7.5,
C388,,,,E,33.85,26,7.5,
C429,,,1000 AD,,39,31,8,
,SUZUKI,,TOYOTA,,,,,
C420,,,13B / 14B,A,48,39,8,
C421,,,,E,41,32,7.5,
C436,,,HILUX,E,27.15,21.5,6,
,,,VOLKSWAGEN,,,,,
C181,056103431D,25650010,1600 PASSAT - GOL - SENDA DIESEL -GOLF AUDI3.0,A,35,29,7.8,45º
